Age Group,Gender,Education,Monthly Income,City,Employment Status,Shopping Frequency,Avg Spend per Visit,Preferred Payment,Product Categories,Offer Sensitivity,Local vs Intl Brands,Preferred Shopping Time,Loyalty Program Member,Loyalty Usage Frequency,Satisfaction Score (1-10),Would Recommend,Preferred Rewards,Suggested Improvement,Willing to Try New Service,Willingness to Pay (custom services),Switch for Better Tech,Shopping Challenges,Importance Scores,Loyalty Features Desired
26–35,Male,High school,10k–30k,City C,Employed,Weekly,540.6,Credit Card,"Snacks, Dairy, Fresh Produce",Slightly,Never,Afternoon,Yes,Sometimes,8,Yes,"Cashback, Points",Faster billing,Yes,117.86,Yes,Price inconsistency,"3,5,2,3,3",Instant Discounts
18–25,Female,Bachelor's,50k–100k,City C,Student,Bi-weekly,380.89,Credit Card,"Frozen Foods, Household Supplies",Strongly,Never,Afternoon,No,Sometimes,8,Maybe,"Exclusive Discounts, Priority Checkout",Faster billing,Yes,127.94,Depends,Price inconsistency,"4,3,5,2,5",More Points
60+,Male,Bachelor's,10k–30k,City B,Self-employed,Weekly,502.45,Credit Card,Beverages,Strongly,Sometimes,Night,Yes,Rarely,5,Yes,"Cashback, Priority Checkout",Better variety,Maybe,218.09,No,"Long queues, Poor customer service","4,4,5,2,5",Personalized Offers
26–35,Male,Bachelor's,10k–30k,City C,Retired,Rarely,324.12,Credit Card,"Fresh Produce, Dairy",Strongly,Sometimes,Morning,No,Always,8,Maybe,"Cashback, Free Products",Better variety,Yes,0.0,Yes,"Price inconsistency, Lack of variety, Poor customer service","3,4,4,4,4",More Points
46–60,Prefer not to say,Bachelor's,10k–30k,City B,Employed,Monthly,287.71,Credit Card,Beverages,Strongly,Always,Afternoon,No,Sometimes,10,Maybe,"Priority Checkout, Free Products",Faster billing,Maybe,217.04,Yes,"Poor customer service, Price inconsistency, Product unavailability","3,4,5,2,4",More Points
36–45,Male,Bachelor's,10k–30k,City A,Self-employed,Weekly,544.01,Others,Beverages,Moderately,Sometimes,Afternoon,Yes,Always,7,Yes,"Exclusive Discounts, Priority Checkout",More offers,Yes,182.9,Yes,Price inconsistency,"3,3,4,2,4",More Points
36–45,Female,Master's,30k–50k,City C,Self-employed,Bi-weekly,453.94,Credit Card,"Beverages, Snacks, Dairy",Slightly,Never,Afternoon,Yes,Rarely,1,Maybe,"Priority Checkout, Exclusive Discounts",More offers,Maybe,161.14,Yes,Lack of variety,"4,4,5,1,3",Cashback
26–35,Male,High school,30k–50k,City C,Employed,Rarely,524.27,UPI,"Snacks, Household Supplies",Moderately,Always,Afternoon,Yes,Rarely,7,Yes,"Points, Free Products",Improved customer service,Yes,129.25,Depends,"Product unavailability, Lack of variety","4,4,3,2,5",Instant Discounts
26–35,Male,Doctorate,10k–30k,City B,Homemaker,Bi-weekly,497.85,Cash,Frozen Foods,Not at all,Never,Morning,No,Rarely,8,Yes,"Free Products, Priority Checkout",More offers,Yes,58.78,Yes,Price inconsistency,"5,4,3,2,5",More Points
26–35,Male,Doctorate,<10k,City D,Employed,Weekly,382.83,Mobile Wallet,"Frozen Foods, Snacks, Household Supplies",Strongly,Never,Morning,Yes,Sometimes,3,Maybe,"Free Products, Priority Checkout",Better variety,No,237.05,Depends,Product unavailability,"3,5,5,2,4",Personalized Offers
18–25,Female,Master's,10k–30k,City A,Employed,Weekly,494.57,UPI,"Frozen Foods, Household Supplies",Strongly,Sometimes,Morning,Yes,Rarely,9,Yes,"Priority Checkout, Free Products",More offers,No,194.08,Yes,"Lack of variety, Product unavailability","3,4,3,1,4",Cashback
36–45,Male,Bachelor's,10k–30k,City B,Student,Monthly,352.03,Credit Card,Fresh Produce,Strongly,Sometimes,Night,No,Sometimes,8,Yes,"Exclusive Discounts, Free Products",More offers,No,135.05,Yes,Poor customer service,"4,4,4,4,4",Instant Discounts
26–35,Female,Doctorate,10k–30k,City A,Self-employed,Bi-weekly,666.92,Credit Card,"Dairy, Frozen Foods, Household Supplies",Moderately,Sometimes,Morning,Yes,Sometimes,2,Yes,"Exclusive Discounts, Free Products",Faster billing,Yes,137.14,Depends,"Lack of variety, Product unavailability","5,4,5,4,5",Instant Discounts
18–25,Male,High school,>100k,City D,Self-employed,Bi-weekly,337.28,UPI,"Frozen Foods, Household Supplies",Slightly,Sometimes,Morning,No,Sometimes,6,Yes,"Cashback, Free Products",More offers,Yes,113.47,Yes,Long queues,"5,4,2,2,5",Personalized Offers
36–45,Non-binary,High school,30k–50k,City C,Student,Monthly,476.51,UPI,"Dairy, Snacks",Slightly,Sometimes,Night,Yes,Sometimes,4,Yes,"Priority Checkout, Exclusive Discounts",More offers,No,155.66,No,Lack of variety,"4,4,5,1,3",Cashback
18–25,Male,Bachelor's,30k–50k,City B,Employed,Monthly,374.93,UPI,"Beverages, Fresh Produce, Snacks",Moderately,Never,Evening,Yes,Sometimes,3,Yes,"Points, Priority Checkout",Better variety,Maybe,117.34,Depends,"Lack of variety, Product unavailability","5,5,3,4,4",Personalized Offers
46–60,Female,Master's,30k–50k,City C,Unemployed,Rarely,568.45,Credit Card,Frozen Foods,Moderately,Sometimes,Afternoon,Yes,Rarely,6,Maybe,"Cashback, Points",Faster billing,Maybe,138.47,Depends,"Lack of variety, Poor customer service, Long queues","4,4,2,1,5",Personalized Offers
60+,Female,High school,30k–50k,City B,Employed,Weekly,460.23,Credit Card,Snacks,Moderately,Sometimes,Morning,No,Always,10,Maybe,"Points, Priority Checkout",Improved customer service,No,146.28,Yes,"Product unavailability, Lack of variety","4,5,5,4,3",Personalized Offers
46–60,Female,Bachelor's,30k–50k,City D,Employed,Bi-weekly,437.76,Others,"Dairy, Household Supplies, Fresh Produce",Strongly,Sometimes,Evening,Yes,Sometimes,9,No,"Points, Cashback",More offers,Yes,265.82,Yes,Price inconsistency,"3,5,5,2,3",Personalized Offers
26–35,Female,Other,30k–50k,City B,Unemployed,Monthly,602.38,UPI,"Beverages, Household Supplies, Dairy",Strongly,Always,Morning,No,Sometimes,2,Yes,"Free Products, Cashback",Improved customer service,Yes,65.39,Yes,"Long queues, Price inconsistency, Lack of variety","3,3,4,5,4",Personalized Offers
18–25,Female,Doctorate,30k–50k,City B,Homemaker,Monthly,503.53,Mobile Wallet,"Snacks, Dairy, Beverages",Slightly,Always,Evening,Yes,Sometimes,10,Maybe,"Exclusive Discounts, Priority Checkout",Improved customer service,Maybe,129.6,Yes,"Product unavailability, Poor customer service, Lack of variety","3,5,4,3,5",Instant Discounts
46–60,Female,Bachelor's,10k–30k,City D,Self-employed,Bi-weekly,562.0,UPI,"Fresh Produce, Dairy",Slightly,Never,Night,Yes,Sometimes,10,Maybe,"Free Products, Priority Checkout",More offers,Maybe,193.65,Yes,"Poor customer service, Price inconsistency, Long queues","4,5,2,3,5",Personalized Offers
26–35,Male,High school,30k–50k,City B,Homemaker,Weekly,382.24,Mobile Wallet,"Snacks, Beverages",Moderately,Sometimes,Evening,No,Rarely,10,Yes,"Exclusive Discounts, Points",Improved customer service,Maybe,169.6,Yes,Poor customer service,"4,3,3,1,3",Instant Discounts
60+,Male,Master's,30k–50k,City A,Retired,Monthly,331.42,Credit Card,"Household Supplies, Frozen Foods",Slightly,Sometimes,Morning,Yes,Rarely,5,Maybe,"Exclusive Discounts, Free Products",More offers,No,160.65,Yes,"Poor customer service, Product unavailability","5,4,3,5,5",Instant Discounts
60+,Female,Bachelor's,50k–100k,City C,Employed,Monthly,512.86,Credit Card,"Fresh Produce, Beverages",Strongly,Sometimes,Evening,Yes,Rarely,6,Maybe,"Exclusive Discounts, Cashback",Better variety,Maybe,300.0,Yes,"Poor customer service, Product unavailability","4,5,4,3,5",Instant Discounts
46–60,Female,High school,30k–50k,City D,Employed,Weekly,461.74,Credit Card,"Household Supplies, Beverages, Fresh Produce",Moderately,Always,Evening,Yes,Rarely,4,Yes,"Priority Checkout, Points",Faster billing,Maybe,185.27,Depends,"Price inconsistency, Poor customer service","5,3,4,3,4",Personalized Offers
26–35,Female,High school,30k–50k,City B,Employed,Bi-weekly,575.17,Mobile Wallet,"Frozen Foods, Fresh Produce, Dairy",Slightly,Always,Evening,No,Always,7,Maybe,"Exclusive Discounts, Cashback",Better variety,No,82.51,Depends,Long queues,"4,4,3,1,3",Cashback
26–35,Female,Doctorate,10k–30k,City A,Unemployed,Weekly,490.41,Cash,"Household Supplies, Beverages, Dairy",Moderately,Never,Afternoon,No,Rarely,2,Yes,"Points, Cashback",Better variety,Maybe,75.63,Yes,"Lack of variety, Poor customer service, Price inconsistency","4,3,2,4,5",Personalized Offers
46–60,Male,Master's,30k–50k,City B,Self-employed,Weekly,524.61,Credit Card,"Household Supplies, Frozen Foods, Beverages",Moderately,Sometimes,Evening,Yes,Sometimes,7,Yes,"Priority Checkout, Exclusive Discounts",Faster billing,Yes,117.7,Depends,"Price inconsistency, Poor customer service","3,4,3,2,4",More Points
26–35,Male,Master's,10k–30k,City C,Student,Daily,305.19,UPI,"Household Supplies, Frozen Foods, Dairy",Strongly,Sometimes,Evening,Yes,Sometimes,2,Yes,"Free Products, Cashback",Better variety,No,93.83,Yes,"Lack of variety, Product unavailability, Price inconsistency","5,3,5,2,5",More Points
18–25,Female,Doctorate,10k–30k,City A,Retired,Weekly,726.61,UPI,Frozen Foods,Not at all,Never,Night,No,Always,1,No,"Cashback, Points",Better variety,Maybe,124.76,Yes,"Long queues, Poor customer service, Product unavailability","4,3,4,1,5",Cashback
26–35,Male,Bachelor's,10k–30k,City C,Employed,Bi-weekly,480.29,Mobile Wallet,Beverages,Strongly,Always,Night,No,Always,5,Yes,"Priority Checkout, Free Products",Better variety,Yes,140.28,Yes,Product unavailability,"4,4,2,4,3",More Points
46–60,Male,Bachelor's,30k–50k,City D,Student,Bi-weekly,583.71,UPI,Beverages,Moderately,Sometimes,Afternoon,Yes,Always,2,Yes,"Exclusive Discounts, Priority Checkout",Improved customer service,Maybe,136.4,Depends,"Price inconsistency, Lack of variety","5,3,2,4,4",Personalized Offers
36–45,Female,Bachelor's,10k–30k,City B,Employed,Bi-weekly,399.67,Cash,"Snacks, Dairy, Fresh Produce",Strongly,Sometimes,Evening,No,Always,8,Maybe,"Exclusive Discounts, Cashback",Improved customer service,Yes,0.0,Yes,"Lack of variety, Long queues","4,4,5,2,4",More Points
26–35,Male,Bachelor's,10k–30k,City B,Employed,Monthly,536.96,Mobile Wallet,Fresh Produce,Not at all,Sometimes,Morning,Yes,Always,8,Maybe,"Points, Cashback",Improved customer service,Maybe,74.66,Yes,"Product unavailability, Price inconsistency, Long queues","5,4,3,2,4",Instant Discounts
18–25,Female,Bachelor's,50k–100k,City B,Retired,Weekly,343.66,UPI,"Household Supplies, Beverages, Snacks",Moderately,Sometimes,Night,Yes,Rarely,1,Maybe,"Points, Priority Checkout",Improved customer service,No,162.96,Depends,"Poor customer service, Price inconsistency","3,3,3,2,4",Cashback
36–45,Male,Master's,10k–30k,City A,Employed,Weekly,554.25,Mobile Wallet,"Frozen Foods, Dairy",Moderately,Never,Morning,Yes,Sometimes,4,Yes,"Priority Checkout, Points",Faster billing,Maybe,218.62,Yes,Price inconsistency,"5,4,4,3,4",Personalized Offers
60+,Female,Master's,30k–50k,City D,Retired,Monthly,457.28,Credit Card,Fresh Produce,Moderately,Never,Afternoon,Yes,Sometimes,9,Maybe,"Free Products, Exclusive Discounts",Faster billing,Maybe,95.78,Depends,"Product unavailability, Poor customer service","3,4,3,1,3",Personalized Offers
18–25,Male,Doctorate,30k–50k,City B,Self-employed,Weekly,503.5,Cash,"Household Supplies, Frozen Foods",Strongly,Always,Night,Yes,Rarely,5,Yes,"Points, Priority Checkout",More offers,Yes,96.07,Yes,"Lack of variety, Price inconsistency, Product unavailability","4,4,4,1,5",More Points
26–35,Male,Bachelor's,<10k,City B,Student,Rarely,583.76,UPI,Dairy,Moderately,Always,Afternoon,No,Always,10,Yes,"Priority Checkout, Free Products",Improved customer service,Yes,114.65,Depends,"Long queues, Price inconsistency","5,5,4,1,3",More Points
46–60,Male,Master's,50k–100k,City C,Unemployed,Monthly,352.1,Mobile Wallet,"Frozen Foods, Beverages, Household Supplies",Strongly,Never,Night,Yes,Rarely,6,Yes,"Exclusive Discounts, Points",More offers,Maybe,223.48,No,Price inconsistency,"3,4,5,3,4",More Points
36–45,Male,Master's,<10k,City B,Employed,Bi-weekly,417.86,UPI,Household Supplies,Slightly,Sometimes,Evening,Yes,Rarely,3,Maybe,"Exclusive Discounts, Cashback",Faster billing,Yes,123.22,Depends,Long queues,"3,3,3,5,5",More Points
36–45,Male,Bachelor's,30k–50k,City C,Employed,Rarely,554.88,Mobile Wallet,"Fresh Produce, Dairy",Strongly,Always,Afternoon,Yes,Sometimes,5,Maybe,"Cashback, Points",More offers,No,0.0,Depends,"Long queues, Product unavailability, Poor customer service","5,3,3,4,5",More Points
36–45,Male,Master's,30k–50k,City A,Employed,Weekly,751.79,UPI,Frozen Foods,Slightly,Sometimes,Afternoon,No,Always,1,Maybe,"Points, Free Products",More offers,Yes,227.26,Depends,"Lack of variety, Price inconsistency, Poor customer service","4,5,4,5,4",Personalized Offers
26–35,Female,Bachelor's,30k–50k,City D,Retired,Weekly,483.43,UPI,Beverages,Strongly,Sometimes,Night,No,Always,8,Yes,"Points, Priority Checkout",More offers,Maybe,161.5,Yes,Poor customer service,"5,4,4,2,3",Personalized Offers
26–35,Male,Bachelor's,30k–50k,City D,Employed,Bi-weekly,570.94,UPI,"Dairy, Frozen Foods, Fresh Produce",Strongly,Sometimes,Morning,Yes,Sometimes,6,Yes,"Cashback, Exclusive Discounts",Better variety,Yes,42.42,Depends,Long queues,"5,5,4,5,3",More Points
46–60,Female,High school,10k–30k,City C,Employed,Weekly,487.16,Credit Card,"Household Supplies, Fresh Produce",Moderately,Always,Evening,Yes,Always,2,Yes,"Points, Free Products",More offers,Maybe,89.33,No,"Lack of variety, Price inconsistency, Product unavailability","5,4,2,2,4",Personalized Offers
46–60,Female,Bachelor's,<10k,City D,Student,Rarely,733.07,Mobile Wallet,"Beverages, Dairy, Household Supplies",Moderately,Sometimes,Evening,Yes,Sometimes,4,No,"Points, Priority Checkout",Better variety,Maybe,72.26,Yes,Long queues,"4,5,2,4,4",Cashback
46–60,Female,Bachelor's,30k–50k,City A,Employed,Weekly,290.33,UPI,Fresh Produce,Moderately,Sometimes,Night,Yes,Always,4,Yes,"Priority Checkout, Free Products",Improved customer service,Yes,107.46,Depends,"Lack of variety, Product unavailability","5,4,5,3,5",More Points
46–60,Male,Master's,30k–50k,City B,Homemaker,Bi-weekly,511.35,Credit Card,"Snacks, Household Supplies",Not at all,Sometimes,Evening,Yes,Sometimes,9,Yes,"Free Products, Cashback",Improved customer service,No,209.23,Yes,"Poor customer service, Product unavailability","3,3,5,2,4",Instant Discounts
26–35,Female,Other,50k–100k,City C,Employed,Bi-weekly,304.93,Credit Card,Fresh Produce,Moderately,Sometimes,Evening,Yes,Always,9,Maybe,"Priority Checkout, Cashback",More offers,Maybe,7.98,Yes,Long queues,"5,4,5,1,4",Cashback
26–35,Male,Master's,50k–100k,City C,Employed,Bi-weekly,199.21,Cash,Dairy,Moderately,Sometimes,Night,No,Rarely,5,Yes,"Cashback, Exclusive Discounts",Improved customer service,Maybe,99.4,Yes,"Poor customer service, Price inconsistency, Long queues","4,5,5,5,4",Cashback
36–45,Male,Master's,50k–100k,City B,Employed,Weekly,535.7,UPI,"Fresh Produce, Snacks",Strongly,Never,Night,Yes,Sometimes,3,No,"Exclusive Discounts, Free Products",Improved customer service,Yes,126.67,No,Lack of variety,"3,4,5,1,4",More Points
36–45,Prefer not to say,Bachelor's,30k–50k,City B,Employed,Weekly,516.74,Cash,"Household Supplies, Beverages",Strongly,Never,Evening,Yes,Rarely,1,Maybe,"Cashback, Exclusive Discounts",More offers,Maybe,115.84,No,"Long queues, Product unavailability, Lack of variety","4,5,4,5,3",Instant Discounts
36–45,Male,Master's,10k–30k,City A,Unemployed,Monthly,465.82,Mobile Wallet,"Frozen Foods, Beverages, Household Supplies",Strongly,Sometimes,Morning,Yes,Always,6,Maybe,"Points, Free Products",Better variety,Yes,72.2,No,Poor customer service,"3,3,5,5,4",Personalized Offers
36–45,Female,High school,50k–100k,City B,Employed,Weekly,487.26,Credit Card,"Beverages, Fresh Produce, Dairy",Moderately,Sometimes,Afternoon,No,Rarely,8,Yes,"Free Products, Points",Better variety,Yes,191.4,Yes,"Price inconsistency, Long queues, Lack of variety","4,4,4,1,4",Instant Discounts
46–60,Female,Bachelor's,30k–50k,City A,Unemployed,Monthly,871.8,Credit Card,Beverages,Strongly,Sometimes,Evening,Yes,Sometimes,1,Yes,"Cashback, Priority Checkout",Faster billing,Maybe,110.47,No,"Lack of variety, Product unavailability","4,5,4,3,4",Instant Discounts
26–35,Female,Bachelor's,10k–30k,City C,Employed,Bi-weekly,469.02,UPI,"Frozen Foods, Beverages",Moderately,Never,Evening,Yes,Sometimes,1,Yes,"Priority Checkout, Free Products",More offers,Yes,102.77,Depends,Price inconsistency,"5,4,2,4,4",Instant Discounts
26–35,Female,Bachelor's,50k–100k,City A,Employed,Monthly,561.21,Cash,"Snacks, Beverages, Frozen Foods",Moderately,Sometimes,Afternoon,No,Always,7,Yes,"Free Products, Points",Better variety,No,140.77,Yes,"Price inconsistency, Poor customer service, Long queues","3,4,2,2,4",More Points
18–25,Male,High school,50k–100k,City A,Retired,Monthly,422.08,Mobile Wallet,Dairy,Moderately,Always,Morning,Yes,Sometimes,7,Maybe,"Points, Cashback",Improved customer service,Maybe,103.18,No,"Poor customer service, Lack of variety","4,4,4,2,4",Personalized Offers
26–35,Male,High school,30k–50k,City C,Employed,Weekly,535.43,UPI,"Dairy, Snacks, Fresh Produce",Strongly,Sometimes,Evening,Yes,Always,2,Yes,"Points, Priority Checkout",Faster billing,No,86.78,Yes,Poor customer service,"5,5,4,3,5",Instant Discounts
18–25,Female,Bachelor's,<10k,City C,Homemaker,Bi-weekly,471.41,UPI,Fresh Produce,Strongly,Always,Afternoon,Yes,Sometimes,3,Maybe,"Points, Exclusive Discounts",Better variety,Yes,64.47,Yes,"Long queues, Poor customer service, Product unavailability","5,5,2,2,4",Cashback
26–35,Male,Other,10k–30k,City D,Unemployed,Monthly,450.74,Credit Card,"Snacks, Dairy",Moderately,Always,Morning,No,Always,2,Yes,"Exclusive Discounts, Priority Checkout",Faster billing,No,251.4,No,Product unavailability,"5,5,2,5,4",Cashback
26–35,Male,Bachelor's,50k–100k,City C,Student,Weekly,718.27,UPI,"Snacks, Household Supplies",Strongly,Sometimes,Afternoon,Yes,Sometimes,6,Maybe,"Free Products, Points",Better variety,No,167.59,Yes,Poor customer service,"4,5,2,4,3",Personalized Offers
26–35,Male,Bachelor's,50k–100k,City B,Student,Rarely,641.26,UPI,"Beverages, Fresh Produce, Frozen Foods",Moderately,Never,Night,No,Always,8,Yes,"Points, Free Products",Faster billing,No,97.06,No,Long queues,"4,4,2,5,4",Cashback
26–35,Male,High school,10k–30k,City D,Homemaker,Bi-weekly,516.41,UPI,"Household Supplies, Frozen Foods",Strongly,Sometimes,Afternoon,Yes,Sometimes,8,Yes,"Priority Checkout, Exclusive Discounts",Faster billing,Maybe,196.28,No,Poor customer service,"3,4,2,3,4",Personalized Offers
18–25,Male,Master's,<10k,City C,Employed,Weekly,223.49,Mobile Wallet,"Snacks, Fresh Produce",Moderately,Sometimes,Morning,Yes,Sometimes,1,Yes,"Free Products, Priority Checkout",Improved customer service,Yes,151.41,Yes,Lack of variety,"3,4,2,3,5",Cashback
18–25,Male,Bachelor's,50k–100k,City A,Employed,Weekly,456.68,Mobile Wallet,"Snacks, Fresh Produce",Slightly,Sometimes,Morning,No,Never,9,No,"Points, Cashback",Improved customer service,Maybe,122.31,Yes,"Poor customer service, Lack of variety, Product unavailability","5,4,4,2,5",Instant Discounts
46–60,Female,Bachelor's,10k–30k,City C,Student,Rarely,824.36,UPI,"Beverages, Fresh Produce, Household Supplies",Moderately,Never,Afternoon,Yes,Sometimes,8,Yes,"Cashback, Priority Checkout",Faster billing,Maybe,58.26,Depends,"Poor customer service, Product unavailability","3,3,3,3,3",More Points
26–35,Female,Bachelor's,30k–50k,City D,Student,Weekly,472.32,UPI,"Frozen Foods, Household Supplies",Moderately,Sometimes,Night,Yes,Rarely,9,Yes,"Free Products, Points",Faster billing,Maybe,70.33,Yes,Product unavailability,"5,5,3,1,5",Personalized Offers
18–25,Female,High school,>100k,City B,Homemaker,Monthly,632.39,Credit Card,Snacks,Moderately,Sometimes,Evening,Yes,Sometimes,9,Yes,"Exclusive Discounts, Priority Checkout",Better variety,No,178.11,No,"Price inconsistency, Poor customer service","5,4,5,2,4",Instant Discounts
26–35,Male,High school,<10k,City B,Student,Monthly,673.03,Credit Card,Fresh Produce,Moderately,Sometimes,Morning,No,Sometimes,6,Yes,"Exclusive Discounts, Free Products",Improved customer service,Yes,165.13,Depends,"Price inconsistency, Product unavailability, Poor customer service","4,5,4,5,3",Cashback
36–45,Male,Bachelor's,30k–50k,City A,Employed,Weekly,526.28,Credit Card,"Frozen Foods, Dairy",Moderately,Sometimes,Afternoon,Yes,Always,3,Maybe,"Priority Checkout, Free Products",Better variety,Yes,37.62,Depends,Long queues,"5,4,2,1,3",More Points
18–25,Male,High school,<10k,City A,Self-employed,Weekly,398.98,Credit Card,"Beverages, Snacks, Household Supplies",Strongly,Always,Night,Yes,Always,1,Maybe,"Exclusive Discounts, Free Products",Better variety,Maybe,95.54,No,Product unavailability,"3,3,4,5,5",More Points
36–45,Female,High school,10k–30k,City B,Employed,Monthly,207.76,Credit Card,Frozen Foods,Strongly,Always,Morning,Yes,Rarely,8,Yes,"Exclusive Discounts, Priority Checkout",Improved customer service,Yes,160.8,Yes,"Lack of variety, Long queues","3,3,5,1,5",Personalized Offers
18–25,Female,Bachelor's,50k–100k,City C,Student,Weekly,582.1,Credit Card,"Fresh Produce, Dairy, Snacks",Moderately,Sometimes,Evening,Yes,Sometimes,10,Yes,"Exclusive Discounts, Free Products",Improved customer service,Yes,186.74,Yes,"Long queues, Price inconsistency","3,3,3,1,4",Personalized Offers
18–25,Male,Master's,30k–50k,City A,Homemaker,Monthly,402.23,UPI,"Fresh Produce, Beverages",Strongly,Sometimes,Afternoon,Yes,Rarely,3,Yes,"Cashback, Free Products",More offers,No,150.87,Yes,"Product unavailability, Long queues","5,3,2,2,4",Personalized Offers
26–35,Female,Bachelor's,>100k,City D,Student,Weekly,521.14,Cash,Dairy,Moderately,Sometimes,Morning,Yes,Sometimes,7,No,"Priority Checkout, Exclusive Discounts",Better variety,Maybe,92.62,No,"Product unavailability, Poor customer service, Long queues","3,5,5,4,4",Cashback
26–35,Male,Bachelor's,30k–50k,City D,Homemaker,Bi-weekly,350.02,UPI,Frozen Foods,Strongly,Always,Morning,Yes,Sometimes,10,Yes,"Cashback, Priority Checkout",Faster billing,Yes,134.16,Yes,"Product unavailability, Lack of variety, Poor customer service","3,4,4,2,3",Instant Discounts
36–45,Female,Bachelor's,10k–30k,City C,Retired,Monthly,468.17,Credit Card,Fresh Produce,Moderately,Sometimes,Evening,No,Sometimes,6,Maybe,"Free Products, Priority Checkout",Improved customer service,Maybe,107.35,Depends,"Long queues, Lack of variety, Price inconsistency","4,5,2,5,3",Personalized Offers
36–45,Female,Doctorate,10k–30k,City D,Employed,Weekly,504.05,Credit Card,"Frozen Foods, Dairy",Slightly,Sometimes,Morning,Yes,Sometimes,3,Maybe,"Exclusive Discounts, Priority Checkout",More offers,Yes,142.92,No,"Poor customer service, Product unavailability, Price inconsistency","3,5,2,3,5",Personalized Offers
60+,Female,Bachelor's,10k–30k,City A,Employed,Weekly,532.23,Cash,"Dairy, Frozen Foods",Not at all,Always,Morning,Yes,Always,6,No,"Free Products, Priority Checkout",Faster billing,No,208.69,Yes,"Lack of variety, Product unavailability, Long queues","4,4,2,4,3",Cashback
26–35,Female,High school,10k–30k,City B,Employed,Weekly,366.22,Credit Card,"Frozen Foods, Fresh Produce",Strongly,Sometimes,Afternoon,No,Sometimes,3,No,"Free Products, Cashback",Faster billing,No,73.07,Yes,Lack of variety,"5,4,2,1,5",Instant Discounts
26–35,Female,Master's,<10k,City C,Employed,Weekly,643.63,UPI,"Frozen Foods, Household Supplies, Beverages",Moderately,Always,Morning,No,Sometimes,9,Yes,"Points, Exclusive Discounts",More offers,Yes,136.86,No,Product unavailability,"4,3,2,5,3",Instant Discounts
36–45,Male,High school,10k–30k,City D,Retired,Bi-weekly,428.37,UPI,Household Supplies,Strongly,Never,Afternoon,No,Never,1,No,"Free Products, Priority Checkout",Faster billing,Maybe,114.2,Yes,"Long queues, Product unavailability, Poor customer service","3,3,3,3,5",Instant Discounts
26–35,Female,Bachelor's,30k–50k,City D,Retired,Monthly,299.06,Credit Card,"Fresh Produce, Beverages",Moderately,Sometimes,Morning,Yes,Sometimes,8,No,"Free Products, Priority Checkout",Better variety,Yes,104.23,Depends,"Product unavailability, Long queues","5,3,4,5,4",Cashback
26–35,Male,Bachelor's,30k–50k,City B,Employed,Weekly,486.92,Mobile Wallet,Fresh Produce,Moderately,Sometimes,Afternoon,No,Rarely,5,Yes,"Cashback, Priority Checkout",Faster billing,Yes,111.61,Depends,"Poor customer service, Long queues, Product unavailability","3,3,5,3,4",Cashback
18–25,Female,Doctorate,30k–50k,City D,Self-employed,Bi-weekly,504.13,Mobile Wallet,"Dairy, Snacks, Fresh Produce",Slightly,Always,Night,No,Always,4,Maybe,"Free Products, Exclusive Discounts",Better variety,Maybe,198.82,Depends,"Poor customer service, Lack of variety, Product unavailability","5,3,3,2,3",Personalized Offers
18–25,Female,Bachelor's,30k–50k,City A,Unemployed,Bi-weekly,519.27,UPI,Dairy,Strongly,Sometimes,Evening,Yes,Always,1,Maybe,"Points, Exclusive Discounts",Better variety,No,154.77,No,Price inconsistency,"5,3,3,2,3",More Points
60+,Female,Master's,<10k,City D,Unemployed,Weekly,663.46,UPI,"Fresh Produce, Frozen Foods, Snacks",Slightly,Sometimes,Afternoon,Yes,Rarely,9,Maybe,"Exclusive Discounts, Priority Checkout",Better variety,Maybe,91.25,Depends,"Price inconsistency, Lack of variety","4,4,4,3,4",More Points
46–60,Male,Other,10k–30k,City D,Employed,Weekly,471.63,Mobile Wallet,"Fresh Produce, Household Supplies",Strongly,Sometimes,Morning,Yes,Rarely,9,Yes,"Points, Exclusive Discounts",Better variety,Yes,158.98,No,Product unavailability,"5,3,4,4,5",Personalized Offers
36–45,Female,High school,30k–50k,City A,Employed,Rarely,485.65,UPI,"Snacks, Frozen Foods, Household Supplies",Moderately,Always,Evening,No,Sometimes,5,Maybe,"Exclusive Discounts, Priority Checkout",More offers,Yes,86.47,Yes,"Product unavailability, Price inconsistency, Poor customer service","5,5,2,4,4",Instant Discounts
26–35,Female,Bachelor's,30k–50k,City C,Employed,Monthly,367.62,UPI,"Household Supplies, Fresh Produce, Snacks",Strongly,Always,Morning,Yes,Sometimes,9,Yes,"Free Products, Points",More offers,Yes,12.65,No,"Poor customer service, Lack of variety","5,5,5,2,3",Personalized Offers
18–25,Female,Bachelor's,<10k,City A,Unemployed,Bi-weekly,598.47,Cash,"Beverages, Dairy, Frozen Foods",Slightly,Sometimes,Morning,Yes,Always,10,Maybe,"Free Products, Exclusive Discounts",Improved customer service,Maybe,0.0,Yes,"Lack of variety, Price inconsistency, Product unavailability","4,4,3,3,5",Cashback
18–25,Male,Bachelor's,50k–100k,City B,Student,Bi-weekly,522.12,Credit Card,"Fresh Produce, Frozen Foods",Slightly,Sometimes,Evening,Yes,Rarely,9,No,"Points, Exclusive Discounts",Better variety,No,150.05,Yes,"Lack of variety, Long queues","5,5,2,4,5",Instant Discounts
